# distance_m=257.0
# duration_s=181
# pace=11:44 / km
t,roll,pitch,yaw,tempC,cadence,strideM,deltaH,label
27.600,4.016,-37.194,-115.402,28.50,57.6,0.074,,walking
27.700,-3.412,-22.863,-129.475,28.50,57.6,0.074,,walking
27.800,-21.693,-5.531,-24.300,28.50,57.6,0.074,,walking
27.900,-24.125,1.473,45.509,28.50,57.6,0.074,,walking
28.000,-8.610,0.485,74.663,28.51,57.6,0.074,,walking
28.100,46.605,-1.761,22.154,28.51,57.6,0.074,,walking
28.200,79.018,-18.026,36.886,28.51,57.6,0.074,,walking
28.300,97.669,-40.842,86.409,28.51,57.6,0.074,,walking
28.400,91.744,-36.917,118.602,28.51,57.6,0.074,,walking
28.500,82.148,-39.846,111.707,28.52,57.6,0.074,,walking
28.600,64.949,-35.544,-35.151,28.52,57.6,0.074,,walking
28.700,39.492,-31.469,-91.598,28.52,57.6,0.074,,walking
28.800,19.802,-26.698,-113.256,28.52,57.6,0.074,,walking
28.900,1.785,-22.863,-123.531,28.52,57.6,0.074,,walking
29.000,-7.541,-12.266,-131.263,28.53,57.6,0.074,,walking
29.100,-22.312,11.109,-117.315,28.53,57.6,0.074,,walking
29.200,-28.393,15.727,-10.990,28.53,57.6,0.074,,walking
29.300,-20.333,13.405,25.598,28.54,57.6,0.074,,walking
29.400,36.997,2.532,-13.281,28.54,57.6,0.074,,walking
29.500,74.675,-18.016,-37.784,28.55,57.6,0.074,,walking
29.600,91.298,-40.767,46.727,28.55,57.6,0.074,,walking
29.700,85.578,-41.548,93.641,28.55,57.6,0.074,,walking
29.800,72.843,-41.517,9.335,28.55,57.6,0.074,,walking
29.900,59.992,-39.388,-70.439,28.55,57.6,0.074,,walking
30.000,36.717,-39.119,-98.454,28.55,57.6,0.074,,walking
30.100,17.938,-39.721,-107.404,28.55,57.6,0.074,,walking
30.200,3.874,-36.890,-110.891,28.55,57.6,0.074,,walking
30.300,-5.517,-29.683,-118.247,28.56,57.6,0.074,,walking
30.400,-21.522,-15.628,-141.859,28.56,57.6,0.074,,walking
30.500,-27.789,-12.219,-0.543,28.56,57.6,0.074,,walking
30.600,-7.374,-8.921,57.740,28.56,57.6,0.074,,walking
30.700,40.334,-12.449,64.070,28.57,57.6,0.074,,walking
30.800,76.423,-27.879,63.601,28.57,57.6,0.074,,walking
30.900,91.744,-42.514,94.221,28.57,57.6,0.074,,walking
31.000,88.028,-42.781,114.753,28.57,57.6,0.074,,walking
31.100,76.702,-39.913,92.165,28.57,57.6,0.074,,walking
31.200,73.570,-35.189,-45.084,28.57,57.6,0.074,,walking
31.300,56.827,-29.985,-98.198,28.57,57.6,0.074,,walking
31.400,35.968,-27.644,-116.881,28.57,57.6,0.074,,walking
31.500,16.849,-25.789,-126.007,28.57,57.6,0.074,,walking
31.600,0.222,-25.251,-134.533,28.58,57.6,0.074,,walking
31.700,-13.576,-12.859,-99.673,28.58,57.6,0.074,,walking
31.800,-28.627,-4.889,36.477,28.58,57.6,0.074,,walking
31.900,-25.240,-2.281,84.570,28.58,57.6,0.074,,walking
32.000,5.068,-1.011,119.750,28.59,57.6,0.074,,walking
32.100,53.612,-7.113,-24.842,28.59,57.6,0.074,,walking
32.200,85.591,-22.022,-100.074,28.59,57.6,0.074,,walking
32.300,103.352,-39.709,29.682,28.59,57.6,0.074,,walking
32.400,101.811,-45.903,84.968,28.59,57.6,0.074,,walking
32.500,87.890,-45.748,117.363,28.59,57.6,0.074,,walking
32.600,76.225,-43.864,143.741,28.59,57.6,0.074,,walking
32.700,54.155,-40.337,-21.354,28.60,57.6,0.074,,walking
32.800,35.947,-36.641,-88.743,28.60,57.6,0.074,,walking
32.900,15.742,-33.729,-118.180,28.60,57.6,0.074,,walking
33.000,-5.688,-32.785,-130.816,28.60,57.6,0.074,,walking
33.100,-18.927,-21.813,-146.542,28.60,57.6,0.074,,walking
33.200,-26.195,-9.559,-26.202,28.60,57.6,0.074,,walking
33.300,-12.678,-2.464,64.794,28.60,57.6,0.074,,walking
33.400,29.908,-2.391,116.517,28.60,57.6,0.074,,walking
33.500,69.234,-3.689,58.339,28.61,57.6,0.074,,walking
33.600,95.565,-15.459,114.556,28.61,57.6,0.074,,walking
33.700,107.738,-33.335,128.524,28.61,57.6,0.074,,walking
33.800,98.629,-35.539,138.102,28.62,57.6,0.074,,walking
33.900,86.484,-36.176,135.330,28.62,57.6,0.074,,walking
34.000,60.349,-38.251,-22.624,28.62,57.6,0.074,,walking
34.100,35.085,-40.008,-82.631,28.62,57.6,0.074,,walking
34.200,20.474,-37.422,-107.033,28.62,57.6,0.074,,walking
34.300,0.431,-27.886,-119.708,28.62,57.6,0.074,,walking
34.400,-15.447,-15.167,-129.024,28.63,57.6,0.074,,walking
34.500,-30.207,1.061,-100.310,28.63,57.6,0.074,,walking
34.600,-33.497,7.251,19.936,28.63,57.6,0.074,,walking
34.700,0.250,3.572,71.432,28.64,57.6,0.074,,walking
34.800,48.580,-6.243,33.420,28.64,57.6,0.074,,walking
34.900,83.394,-15.894,61.749,28.65,57.6,0.074,,walking
35.000,98.715,-42.586,102.643,28.66,57.6,0.074,,walking
35.100,83.392,-40.862,132.283,28.65,57.6,0.074,,walking
35.200,80.085,-41.374,16.948,28.65,57.6,0.074,,walking
35.300,65.974,-35.944,-72.388,28.64,57.6,0.074,,walking
35.400,39.133,-39.871,-102.146,28.64,57.6,0.074,,walking
35.500,23.828,-41.216,-111.399,28.64,57.6,0.074,,walking
35.600,10.103,-39.920,-115.199,28.64,57.6,0.074,,walking
35.700,-0.071,-29.098,-120.727,28.65,57.6,0.074,,walking
35.800,-18.872,-7.836,-130.943,28.65,57.6,0.074,,walking
35.900,-29.806,-1.944,8.518,28.65,57.6,0.074,,walking
36.000,-18.430,2.804,57.209,28.66,57.6,0.074,,walking
36.100,37.978,-0.274,-9.192,28.66,57.6,0.074,,walking
36.200,74.597,-10.513,30.683,28.66,57.6,0.074,,walking
36.300,79.781,-21.372,86.682,28.66,57.6,0.074,,walking
36.400,78.407,-25.637,117.882,28.66,57.6,0.074,,walking
36.500,66.990,-21.070,56.255,28.66,57.6,0.074,,walking
36.600,47.478,-19.371,-53.102,28.66,57.6,0.074,,walking
36.700,29.800,-15.570,-95.878,28.66,57.6,0.074,,walking
36.800,12.836,-9.767,-110.423,28.66,57.6,0.074,,walking
36.900,-2.761,-4.362,-115.439,28.66,57.6,0.074,,walking
37.000,-13.435,-2.470,-122.669,28.66,57.6,0.074,,walking
37.100,-18.046,0.792,-93.247,28.66,57.6,0.074,,walking
37.200,-6.351,-2.264,34.101,28.66,57.6,0.074,,walking
37.300,-2.264,-16.305,84.256,28.66,57.6,0.074,,walking
37.400,-13.903,-18.555,106.165,28.66,57.6,0.074,,walking
37.500,-26.708,-21.926,120.939,28.66,57.6,0.074,,walking
37.600,-38.924,-29.245,134.542,28.65,57.6,0.074,,walking
37.700,-52.854,-20.965,138.422,28.65,57.6,0.074,,walking
37.800,-72.644,-24.465,143.975,28.65,57.6,0.074,,walking
37.900,-77.382,-18.250,144.581,28.66,57.6,0.074,,walking
38.000,-83.564,-23.805,149.908,28.66,57.6,0.074,,walking
38.100,-78.837,-27.810,163.048,28.66,57.6,0.074,,walking
38.200,-70.906,-20.733,162.414,28.66,57.6,0.074,,walking
38.300,-78.953,-24.799,53.206,28.66,57.6,0.074,,walking
38.400,-76.273,-31.199,-61.359,28.67,57.6,0.074,,walking
38.500,-70.003,-33.519,-111.989,28.66,57.6,0.074,,walking
38.600,-74.705,-33.627,-136.320,28.67,57.6,0.074,,walking
38.700,-74.558,-36.711,-147.926,28.67,57.6,0.074,,walking
38.800,-74.361,-45.369,-149.612,28.67,57.6,0.074,,walking
38.900,-73.107,-49.905,-147.065,28.68,57.6,0.074,,walking
39.000,-69.416,-51.687,-145.554,28.68,57.6,0.074,,walking
39.100,-67.222,-53.976,-142.276,28.69,57.6,0.074,,walking
39.200,-55.410,-53.057,-142.970,28.69,57.6,0.074,,walking
39.300,-55.972,-53.638,-148.927,28.69,57.6,0.074,,walking
39.400,-51.766,-58.596,-150.274,28.70,57.6,0.074,,walking
39.500,-43.155,-57.749,-151.086,28.70,57.6,0.074,,walking
39.600,-33.215,-59.350,-157.960,28.70,57.6,0.074,,walking
39.700,-22.810,-57.882,-90.004,28.71,57.6,0.074,,walking
39.800,-18.043,-56.063,-62.530,28.71,57.6,0.074,,walking
